x_m	y_m
0.0	0.0
-0.24284055666958826	-0.37651218959437943
-0.4856639049958007	-0.753035134403379
-0.7284709412465178	-1.1295682966662486
-0.9712630098235738	-1.5061109593687003
-1.2140410966216317	-1.8826623158696223
-1.4568064564157437	-2.259221649154727
-1.699560164727355	-2.635788331836468
-1.9423034763315037	-3.0123616469005565
-2.1850373771228666	-3.388940787705896
-2.427763121876482	-3.765525126864953
-2.670481875740605	-4.142113947363439
-2.913194624609913	-4.518706442560258
-3.155902712886212	-4.895301985067874
-3.3986071264641793	-5.271899857871989
-3.641309120118867	-5.648499254331517
-3.8840097693717337	-6.025099547058925
-4.126710328997804	-6.401700108666695
-4.3694117848917555	-6.778300042886945
-4.612115302201857	-7.154898722332158
-4.854822135703118	-7.531495340361234
-5.097533360917012	-7.908089359213452
-5.340250142991781	-8.2846799722477
-5.582973647075696	-8.661266462449689
-5.8257049486902	-9.037848112805104
-6.068445212983536	-9.414424116672848
-6.311195605103973	-9.790993936292184
-6.55395720057297	-10.167556854648824
-6.796729909763719	-10.544112782115958
-7.039513105288726	-10.92066234608112
-7.282305711626504	-11.29720608430503
-7.525107011762767	-11.673744444921631
-7.7679161094296205	-12.050277965691658
-8.010732287612761	-12.42680727400263
-8.253554560417514	-12.80333281798849
-8.496382121202782	-13.179855225036754
-8.739214163327464	-13.556374853654578
-8.982049790523696	-13.932892420856268
-9.224888196150367	-14.309408374775769
-9.467728573566376	-14.685923342800592
-9.71057002650386	-15.062437683437905
-9.953411748321702	-15.438952024075203
-10.196252842752013	-15.81546690247325
-10.439092592780517	-16.191982856392745
-10.681929922885715	-16.568500423594433
-10.924764295306908	-16.94502014183904
-11.167594634522613	-17.32154245926052
-11.410420133891757	-17.69806800324638
-11.653239986773217	-18.07459731155735
-11.89605338652592	-18.45113083232738
-12.138859436881962	-18.827669192943983
-12.38165742082705	-19.20421293116789
-12.624446262839728	-19.580762495133055
-12.86722533553245	-19.95731842260019
-13.109993653010578	-20.33388134095682
-13.352750498259784	-20.7104516983369
-13.595494885385392	-21.087030032501136
-13.8382260973731	-21.463616881210275
-14.08094323795504	-21.840212871851833
-14.323645410863307	-22.216818362932973
-14.566331899083597	-22.593434071467982
-14.809001806348016	-22.97006044559082
-15.051654236388712	-23.346698023062213
-15.294288472191356	-23.723347252016094
-15.53690352786127	-24.100008849466786
-15.77949859675737	-24.47668317392143
-16.022072872238546	-24.85337085276755
-16.264625547663726	-25.230072423765865
-16.507155726765006	-25.606788424677127
-16.749662602901296	-25.983519303635262
-16.992145279804703	-26.36026559840101
-17.234602950834145	-26.73702793636189
-17.47703471972174	-27.113806855278618
-17.719439869453176	-27.490602803285153
-17.96181741413377	-27.867416407769003
-18.204166636749225	-28.24424802723733
-18.446486551404853	-28.621098378704446
-18.688776530713156	-28.997967999931063
-18.931035499152664	-29.37485724942435
-19.173262739709074	-29.75176675457181
-19.41545744574128	-30.12869714276098
-19.657618631354623	-30.505648862125796
-19.899745579534784	-30.882622360800195
-20.141837394013876	-31.259618355798484
-20.383893357777616	-31.636637205627828
-20.62591239530451	-32.01367953767575
-20.867894685848157	-32.39074544156901
-21.109841753063943	-32.767833662532595
-21.351755658368027	-33.14494303541825
-21.59363828392294	-33.52207239507771
-21.83549151189127	-33.89922048673596
-22.077317403689108	-34.276386055617955
-22.319117751852257	-34.65356784694865
-22.560894528170042	-35.03076469557981
-22.802649614805038	-35.40797525710959
-23.044385073173363	-35.78519845601654
-23.286102695810794	-36.162433037525616
-23.527804454506683	-36.539677657235
-23.76949223142356	-36.916931239623224
-24.01116808797759	-37.29419244028847
-24.252833816704516	-37.671460004455696
-24.494491389393698	-38.04873285660342
-24.736142688207703	-38.426009562703065
-24.977789774562638	-38.80328904723314
-25.21943444099429	-39.180570055418634
-25.461078659292006	-39.55785142211127
-25.70272440124512	-39.93513171328244
-25.94437345938941	-40.3124098534107
-26.186027984767794	-40.68968458772098
-26.427689680289244	-41.06695475106507
-26.669360607369903	-41.44421899904111
-26.911042648172327	-41.821476076874085
-27.152737684859073	-42.198724909042525
-27.39444768921949	-42.57596415114461
-27.636174722669693	-42.95319263803207
-27.8779204881187	-43.33040911492989
-28.11968695735582	-43.70761232706302
-28.36147619179719	-44.08480110928321
-28.603289983978602	-44.46197411718865
-28.84513030568939	-44.839130275257865
-29.0869991287189	-45.21626823908901
-29.32889833522967	-45.59338684353388
-29.57082989701106	-45.970484744190614
-29.81279560659886	-46.34756086553776
-30.054797615035962	-46.724613952800276
-30.296837625231333	-47.10164266157635
-30.538917698601157	-47.47864582671771
-30.781039717307962	-47.85562228307614
-31.023205563514296	-48.23257068624978
-31.265417298636304	-48.60948996071719
-31.50767671520975	-48.986378762076534
-31.749985785023995	-49.363235835552764
-31.99234647986836	-49.74006001599764
-32.23476068190543	-50.11685004863615
-32.477230362924516	-50.49360476832001
-32.719757405088195	-50.8703228306474
-32.96234369055903	-51.247003070470086
-33.20499128075315	-51.6236443226398
-33.44770196820631	-52.000245242754715
-33.69047772470786	-52.376804665666604
-33.93332052204717	-52.753321336600415
-34.17623224238677	-53.12979409040789
-34.41921476788923	-53.50622158268722
-34.66226926370278	-53.882603186050865
-34.90523547712974	-54.25903677295179
-35.14760208734215	-54.63583478237447
-35.38881206384995	-55.01333761686129
-35.62830801765593	-55.391885858208305
-35.86553282864326	-55.7718199985847
-36.09992919744151	-56.15348044053294
-36.33094000393385	-56.53720794510258
-36.55817339980128	-56.92324172619195
-36.78362313295229	-57.31036330761241
-37.01107548706385	-57.69625879456723
-37.2443600355517	-58.07858776273031
-37.48601196175322	-58.455817145885675
-37.73353309819466	-58.82955323533542
-37.98320187174032	-59.20216540485833
-38.23139933192719	-59.57594693508982
-38.47829084017996	-59.950381934235686
-38.72883732886464	-60.321395251479906
-38.988308405006606	-60.684682560308445
-39.261973765258034	-61.03593935495365
-39.55510301664427	-61.3708612192747
-39.87296576619069	-61.685143737130744
-40.22080867646484	-61.97444538689056
-40.599584928361594	-62.227489326034664
-41.000966131820256	-62.41801840099967
-41.419582387439235	-62.52686063510066
-41.858399624901004	-62.5559643354644
-42.31161146234436	-62.53139350992519
-42.765971956708164	-62.491561393360364
-43.20705979922787	-62.42443325912753
-43.62347455204279	-62.292175040656176
-44.018156332320366	-62.10100405863247
-44.39747016569408	-61.86785565323623
-44.76778080891707	-61.60966498539368
-45.13507882690076	-61.3422426687167
-45.50395615852327	-61.07719967439201
-45.878678859660006	-60.82516717355527
-46.26344809639149	-60.596634278882476
-46.66026147057815	-60.397253483039165
-47.06842231319355	-60.226763434310286
-47.487070117442045	-60.08454257091812
-47.915344107647606	-59.969969331084954
-48.352383597761005	-59.88242215303306
-48.797327901733	-59.82127947498473
-49.24930190360144	-59.78594017007
-49.70517431225915	-59.778992301431394
-50.15713289831998	-59.809640181732874
-50.59678375454089	-59.88791062867576
-51.01630443408184	-60.02278702489054
-51.41552079209292	-60.20929006451956
-51.79971471446952	-60.432480933721926
-52.1742852293195	-60.67720607287171
-52.54381414769385	-60.93080973130952
-52.90990740238757	-61.18972942344912
-53.27349361655549	-61.452472504756074
-53.63550141335248	-61.71754606181561
-53.996859415933386	-61.983457181212984
-54.3584961578263	-62.24871303916018
-54.72134044143966	-62.51182072224245
-55.08615561813045	-62.77156202315152
-55.452601016475874	-63.02855527710071
-55.81988227425013	-63.284172849474416
-56.18720395370598	-63.53978916707307
-56.553770527469354	-63.79677892557752
-56.91878655779299	-64.0565164621615
-57.281456427676076	-64.32037638287899
-57.64099841226996	-64.58970882567084
-57.9986329595526	-64.86227258306576
-58.359676730613316	-65.12848126340069
-58.72994686252792	-65.37785041459261
-59.114877785985726	-65.60055837465896
-59.51484028701044	-65.7955492504053
-59.92662034896918	-65.96797263858727
-60.346928310219646	-66.12310943920558
-60.77296360250396	-66.26492760943736
-61.20370331528585	-66.39262239034935
-61.63852839633767	-66.50430489737546
-62.07681979343177	-66.59808633557653
-62.5179584543405	-66.6720778203865
-62.96132541646304	-66.72439028798576
-63.40630153794491	-66.75313512268863
-63.85224562874181	-66.75677208813609
-64.29836861460836	-66.73608111664095
-64.74382119209751	-66.69278931641618
-65.18775378888178	-66.62862648447833
-65.6293168326337	-66.54532214896363
-66.06766084065262	-66.44460628614222
-66.50193624061103	-66.32820860340391
-66.93121629151665	-66.19759046553392
-67.35356666802171	-66.05070730623474
-67.76634544128386	-65.88305376610589
-68.166896162921	-65.69007384661143
-68.55331399479874	-65.46896366330233
-68.92639114810001	-65.22320629243029
-69.28752427706877	-64.9576947292557
-69.63808135537676	-64.67725672073705
-69.9785272771755	-64.38467858447282
-70.3082670102167	-64.08035109326057
-70.62664484491619	-63.764527711657934
-70.93300525094347	-63.437462262729746
-71.22669251871443	-63.09940856954082
-71.50705111789854	-62.750620096648795
-71.7734267729403	-62.391351653013174
-72.02534992909519	-62.0219739350309
-72.26272056286727	-61.64309066874877
-72.48548256788702	-61.25533291638408
-72.6935800170385	-60.859331919407694
-72.88695680395209	-60.45571900891727
-73.06555691188507	-60.04512542638369
-73.22932432409463	-59.62818232365102
-73.37820293421127	-59.20552103181692
-73.51213681511899	-58.777772702725464
-73.63106986044826	-58.345568577847516
-73.73494596382947	-57.909539988280756
-73.8237091981467	-57.47031808586923
-73.89730354665717	-57.028534022457045
-73.95567281336452	-56.58481921876864
-73.99885706144318	-56.139766645636236
-74.0275171092042	-55.6937216350756
-74.04256141377505	-55.24693128814243
-74.04489879079037	-54.79964216813169
-74.03543841439188	-54.35210092796511
-74.015089189841	-53.90455413093765
-73.98476011202594	-53.45724851959784
-73.94535739740445	-53.01043092612099
-73.89742821751985	-52.56436099931318
-73.8408071213207	-52.119324648629465
-73.775245035962	-51.67561074120895
-73.70049270934511	-51.23350823381749
-73.616301068625	-50.793305993594196
-73.52242068244952	-50.355292887678154
-73.4186026572272	-49.919757872835234
-73.30469256600158	-49.4869521729534
-73.18087055861739	-49.05699490203445
-73.0473901892591	-48.62997622462755
-72.90450483285754	-48.205986305281854
-72.75246804359722	-47.78511521891972
-72.591533196409	-47.367452950836736
-72.42195384547728	-46.95308984483563
-72.24398345535978	-46.542115796585186
-72.05787549061414	-46.13462097063456
-71.86388350542481	-45.73069562115969
-71.66226087472263	-45.330429643829376
-71.45326106306534	-44.93391320319278
-71.23713771426411	-44.54123655342581
-71.01414411362306	-44.152489590197284
-70.78457351999391	-43.76772734435529
-70.54922083336317	-43.386558774221925
-70.3092252998385	-43.00828721077078
-70.06573270828314	-42.6322101592342
-69.81988884756025	-42.25762485596414
-69.57283959615987	-41.88382871656614
-69.32573074294518	-41.51011906701898
-69.07970816640619	-41.13579332292819
-68.83562583058298	-40.76032268624208
-68.59331281719005	-40.383788448457736
-68.35237405134401	-40.006405444987024
-68.11241418928115	-39.628388780122165
-67.87303779761093	-39.24995346852857
-67.63384953256961	-38.87131443524489
-67.39445431927382	-38.49268660530977
-67.15450324063622	-38.114261869677215
-66.91394807744463	-37.73608199443063
-66.67285945560836	-37.35812977122664
-66.43130826991704	-36.98038763321472
-66.18936550478709	-36.60283810317111
-65.94710205500814	-36.2254637038721
-65.70458881536987	-35.848246778840334
-65.46189677028872	-35.47117003010567
-65.21909681455428	-35.09421580119078
-64.976259932583	-34.71736661487192
-64.73345701916456	-34.34060508355214
-64.49075896908857	-33.96391346112734
-64.24823676677147	-33.58727444962733
-64.00596130700288	-33.2106704822016
-63.764001512783125	-32.834083902372825
-63.5223667052982	-32.457493110085
-63.28099674497306	-32.08087166543552
-63.03982763828078	-31.70419303889503
-62.79879557094801	-31.327430521680576
-62.55783663907459	-30.95055767388958
-62.316886669880006	-30.57354778673908
-62.07588202834448	-30.196374330699694
-61.83475854168753	-29.81901068661529
-61.59345239563573	-29.44143023532969
-61.35189959666222	-29.06360635768673
-61.1100363304936	-28.685512524157023
-60.86779851397616	-28.307122115584438
-60.62512224320975	-27.928408423185996
-60.38194370392101	-27.549345007059138
-60.13797411859764	-27.170153783131976
-59.890080045089576	-26.794205435663564
-59.6331748046466	-26.427031730035406
-59.362133896013795	-26.074206825099946
-59.07183254905591	-25.741304790082808
-58.75714608326443	-25.433899783836452
-58.41294981813089	-25.15756596521329
-58.034400501262404	-24.91787381836745
-57.62511439431835	-24.7202849309051
-57.19828160287065	-24.569979731197115
-56.76286946635466	-24.46753218919658
-56.32236079214174	-24.40863950204483
-55.879565021541836	-24.39100175672415
-55.43714407017111	-24.413209034225826
-54.99775850924393	-24.473851684421543
-54.56393204986874	-24.571343761290134
-54.13792319748701	-24.703757123732252
-53.72196016368574	-24.869124732622346
-53.318271249678745	-25.065479459208113
-52.92908457742621	-25.290854174737216
-52.55662844814194	-25.54328175045734
-52.203131073412926	-25.820795057616145
-51.870483847355295	-26.121455020646103
-51.55942708724139	-26.44341864389685
-51.27045526406298	-26.784863187372228
-51.004062848811785	-27.143966269583196
-50.7607444917331	-27.518905060906793
-50.5409945741919	-27.907857090227232
-50.34530765680669	-28.308999796801906
-50.17408033811622	-28.720573448266908
-50.02709912711052	-29.141211146471985
-49.90391553134027	-29.569696924778597
-49.804080610222286	-30.00481508542855
-49.7271456920537	-30.44534993066369
-49.67266165699773	-30.890085941979393
-49.64017983335152	-31.337807421617484
-49.629251280531875	-31.78729876144659
-49.63942705795555	-32.23734426370851
-49.67025831466615	-32.68672832027187
-49.72129628933401	-33.134235233378476
-49.79209195174916	-33.578649394896956
-49.882196450955135	-34.018755196695906
-49.991160935995545	-34.45333703064394
-50.11852194674742	-34.88120662478013
-50.26340042366992	-35.30196137557089
-50.42445106866881	-35.716078993798504
-50.600304115536595	-36.12408361692168
-50.789589798065805	-36.52649983053307
-50.990938170795374	-36.92385168246458
-51.20297937789106	-37.31666366868206
-51.42434365314535	-37.70546010589779
-51.653661230350785	-38.090765221197266
-51.88956216404632	-38.47310333129277
-52.13067659839765	-38.852998842523355
-52.37563476719733	-39.23097598197454
-52.62306681461108	-39.60755906635857
-52.871602884804624	-39.983272502014515
-53.11987321157049	-40.358640605654664
-53.366587796542916	-40.734159909686895
-53.61141806791551	-41.10999416225364
-53.854670997438646	-41.486086808851425
-54.09666520834516	-41.862377620278394
-54.33771887573393	-42.23880591919881
-54.578150622837846	-42.61531147641085
-54.818278714382586	-42.991833793832335
-55.0584216839742	-43.36831246300784
-55.298897885965175	-43.74468707548201
-55.54002567470799	-44.1208972227994
-55.7821235838087	-44.496882406877845
-56.02550996761979	-44.87258230888875
-56.27050327012053	-45.24793652037669
-56.517421756036605	-45.62288454325952
-56.766575534055974	-45.99736812012472
-57.0173059369105	-46.3715700896207
-57.26711139130849	-46.74613226917934
-57.51328346533058	-47.121747922009135
-57.753139001811725	-47.49910305154863
-57.9868615564146	-47.878044575243244
-58.220092508082985	-48.25682217154183
-58.45908538672555	-48.63350644456998
-58.70937464652745	-49.006422538532455
-58.967839482715796	-49.37695984790334
-59.225633014258854	-49.74853548361815
-59.47380573745213	-50.12460240732764
-59.703408507098324	-50.50861384956302
-59.90549208837333	-50.90402277197508
-60.071107067199485	-51.31428249472178
-60.19139759986621	-51.74262863449202
-60.26012377973664	-52.18619833240997
-60.273954716845815	-52.63534774604123
-60.22971152826192	-53.08007891751037
-60.12479772592433	-53.51092259736682
-59.96014058858607	-53.92160706146387
-59.737985356923936	-54.30705638626593
-59.46060245674228	-54.662164623263266
-59.13261654069697	-54.97856968272278
-58.762993155687624	-55.241903942326175
