x_m	y_m
0.0	0.0
-0.44708959788569586	-0.09416882273686002
-0.8941657621818855	-0.18841294668292297
-1.3412179836178797	-0.2827768763149878
-1.78823584430791	-0.37730502472487326
-2.235208926366268	-0.47204189638938576
-2.6821266291372834	-0.5670319044003588
-3.128978717505134	-0.6623196446195493
-3.5757545908141504	-0.7579494387538328
-4.022446298572599	-0.853954916469443
-4.469056308174471	-0.9503252029558367
-4.915589463022765	-1.0470381830520585
-5.362050880675409	-1.144071467442265
-5.808445313150452	-1.2414029409655007
-6.254777969390772	-1.3390104884608107
-6.701053601414403	-1.4368717206123587
-7.147277235394305	-1.5349646136441546
-7.593453897503426	-1.6332669610102706
-8.039588522529746	-1.7317564647798358
-8.485685953876263	-1.8304109184069295
-8.931751309100923	-1.929208206730597
-9.377789522991668	-2.0281261232049244
-9.823805530336497	-2.127142369899034
-10.269804265923396	-2.2262348316519707
-10.7157907559253	-2.3253813019178136
-11.161769935130197	-2.424559574150649
-11.607746738326064	-2.523747441804558
-12.053726100300885	-2.622922698333634
-12.499713138612567	-2.7220631371919413
-12.945712605279166	-2.8211466432185404
-13.391729617858584	-2.9201509184825447
-13.837769111138806	-3.0190537564380415
-14.283835928522858	-3.1178329505391145
-14.729935187568632	-3.216466477009769
-15.176071823064131	-3.314931855149201
-15.622250769797311	-3.413207152566381
-16.06847696255617	-3.5112699799454696
-16.514755427513652	-3.609098222125512
-16.961091008072767	-3.7066696725605905
-17.407488821791432	-3.803962033319824
-17.853953712072656	-3.9009532806272254
-18.300490705089384	-3.997621116551913
-18.747104735629602	-4.0939433345479666
-19.193797996932418	-4.189910339194316
-19.640561259116595	-4.285562979569252
-20.08738264213701	-4.3809550814157525
-20.53424999179361	-4.476140379091847
-20.98115133665631	-4.57117251557059
-21.428074613910034	-4.666105316594962
-21.87500794350965	-4.7609924251380225
-22.32193917125514	-4.855887575557797
-22.768856325716364	-4.950844593597264
-23.21574752684821	-5.04591712222948
-23.662600529065685	-5.141158895812475
-24.109403452323647	-5.236623740089226
-24.55614423380702	-5.332365206647824
-25.002810993470668	-5.428437212616224
-25.449391485729606	-5.524893309582521
-25.895873830538694	-5.621787323289691
-26.342246056467825	-5.719173079480726
-26.78850313734405	-5.817071596697021
-27.23469305027275	-5.91526309410348
-27.680887166909724	-6.013419042759481
-28.127157224450645	-6.111210365414623
-28.573574868706192	-6.20830816758844
-29.020211745487067	-6.304383280645568
-29.46713959198893	-6.399106901490504
-29.91442996263751	-6.492149770102917
-30.36215258415928	-6.583192130498609
-30.810298592212874	-6.672267886498706
-31.258756954068698	-6.759871704905871
-31.70740969174002	-6.8465289578702135
-32.156139010010016	-6.932765108926802
-32.60482702227691	-7.019105804380628
-33.053355750553955	-7.106076416381795
-33.50160739962434	-7.194202408465374
-33.94946399150131	-7.284009244166436
-34.39683998985986	-7.375890884058835
-34.84377935086701	-7.46971454579188
-35.29035828958159	-7.565215852668713
-35.736652929677454	-7.662130336607514
-36.18273948621343	-7.760193620911415
-36.628694265633314	-7.859141420268522
